time_s,linear_x,angular_z,marker,flag
2951.6157,0.4736,-0.4572,driving,
2951.6227,0.4736,-0.7007,driving,
2951.6233,0.4998,-0.7007,driving,
2951.6303,0.4998,-0.7257,driving,
2951.6309,0.5337,-0.7257,driving,
2951.6368,0.5337,-0.7723,driving,
2951.6374,0.5738,-0.7723,driving,
2951.6455,0.5738,-1.0,driving,
2951.6461,0.7919,-1.0,driving,
2951.6520,0.8043,-1.0,driving,
2951.6607,0.8201,-1.0,driving,
2951.6672,0.8337,-1.0,driving,
2951.6743,0.89,-1.0,driving,
2951.6944,0.89,-1.0,driving,
2951.7153,0.89,-1.0,driving,
2951.7357,0.89,-1.0,driving,
2951.7556,0.89,-1.0,driving,
2951.7956,0.89,-1.0,driving,
2951.8161,0.89,-1.0,driving,
2951.8557,0.89,-1.0,driving,
2951.8759,0.89,-1.0,driving,
2951.9158,0.89,-1.0,driving,
2951.9362,0.89,-1.0,driving,
2951.9567,0.89,-1.0,driving,
2951.9771,0.89,-1.0,driving,
2952.0166,0.89,-1.0,driving,
2952.0369,0.89,-1.0,driving,
2952.0572,0.89,-1.0,driving,
2952.0973,0.89,-1.0,driving,
2952.1173,0.89,-1.0,driving,
2952.1379,0.89,-1.0,driving,
2952.1777,0.89,-1.0,driving,
2952.1981,0.89,-1.0,driving,
2952.2377,0.89,-1.0,driving,
2952.2452,0.8372,-1.0,driving,
2952.2517,0.8372,-0.9569,driving,
2952.2523,0.8241,-0.9569,driving,
2952.2604,0.8241,-0.9373,driving,
2952.2610,0.802,-0.9373,driving,
2952.2669,0.802,-0.9087,driving,
2952.2675,0.773,-0.9087,driving,
2952.2681,0.0,0.0,driving,
2956.6108,-0.0,-0.0,driving,
2956.6331,-0.0,-0.0,driving,
2956.6557,-0.0,-0.0,driving,
2956.6782,-0.0,0.1465,driving,
2956.6847,-0.0,0.1734,driving,
2956.6853,0.0095,0.1734,driving,
2956.6933,0.0095,0.4479,driving,
2956.6939,0.0436,0.4479,driving,
2956.6998,0.0436,0.4812,driving,
2956.7005,0.0838,0.4812,driving,
2956.7075,0.0838,0.8085,driving,
2956.7081,0.3398,0.8085,driving,
2956.7152,0.3398,1.0,driving,
2956.7158,0.3641,1.0,driving,
2956.7227,0.4021,1.0,driving,
2956.7303,0.4372,1.0,driving,
2956.7368,0.4689,1.0,driving,
2956.7455,0.497,1.0,driving,
2956.7531,0.5219,1.0,driving,
2956.7606,0.5442,1.0,driving,
2956.7671,0.5647,1.0,driving,
2956.7747,0.5833,1.0,driving,
2956.7833,0.6,1.0,driving,
2956.7898,0.6148,1.0,driving,
2956.7985,0.6268,1.0,driving,
2956.8051,0.6366,1.0,driving,
2956.8136,0.6442,1.0,driving,
2956.8201,0.6503,1.0,driving,
2956.8277,0.656,1.0,driving,
2956.8352,0.6618,1.0,driving,
2956.8428,0.668,1.0,driving,
2956.8504,0.6737,1.0,driving,
2956.8578,0.6792,1.0,driving,
2956.8654,0.6843,1.0,driving,
2956.8729,0.6895,1.0,driving,
2956.8805,0.6947,1.0,driving,
2956.8880,0.6997,1.0,driving,
2956.8956,0.7048,1.0,driving,
2956.9031,0.7097,1.0,driving,
2956.9106,0.7142,1.0,driving,
2956.9183,0.7182,1.0,driving,
2956.9247,0.7214,1.0,driving,
2956.9333,0.7244,1.0,driving,
2956.9473,0.7291,1.0,driving,
2956.9624,0.7329,1.0,driving,
2956.9827,0.7329,1.0,driving,
2956.9935,0.7359,1.0,driving,
2957.0141,0.7359,1.0,driving,
2957.0537,0.7359,1.0,driving,
2957.0742,0.7359,1.0,driving,
2957.0903,0.7349,1.0,driving,
2957.1107,0.7349,1.0,driving,
2957.1129,0.7312,1.0,driving,
2957.1356,0.7284,1.0,driving,
2957.1560,0.7284,1.0,driving,
2957.1582,0.7261,1.0,driving,
2957.1781,0.7261,1.0,driving,
2957.1802,0.7251,1.0,driving,
2957.2009,0.7251,1.0,driving,
2957.2106,0.7216,1.0,driving,
2957.2310,0.7216,1.0,driving,
2957.2482,0.7194,1.0,driving,
2957.2857,0.7173,1.0,driving,
2957.3061,0.7173,1.0,driving,
2957.3458,0.7173,1.0,driving,
2957.3533,0.7151,1.0,driving,
2957.3737,0.7151,1.0,driving,
2957.3835,0.7141,1.0,driving,
2957.4038,0.7141,1.0,driving,
2957.4061,0.7106,1.0,driving,
2957.4458,0.7106,1.0,driving,
2957.4662,0.7106,1.0,driving,
2957.5059,0.7106,1.0,driving,
2957.5252,0.7052,1.0,driving,
2957.5328,0.7,1.0,driving,
2957.5405,0.6951,1.0,driving,
2957.5480,0.6911,1.0,driving,
2957.5556,0.6876,1.0,driving,
2957.5633,0.6839,1.0,driving,
2957.5696,0.6788,1.0,driving,
2957.5784,0.6707,1.0,driving,
2957.5846,0.6707,0.9753,driving,
